,rank,elpd_loo,p_loo_x,elpd_diff,weight,se,dse,warning,scale,loo,loo_se,p_loo_y,waic,waic_se,p_waic
Hierarchical_Model,0,-451201.16932821274,1251.3408036231995,0.0,0.5,551.3287328880106,0.0,True,log,-451201.16932821274,551.3287328880106,1251.3408036231995,-451199.13098444033,551.3551062861559,1249.3023681640625
Flat_Model,1,-1155471.6033473015,92.35688209533691,704270.4340190887,0.5,1954.8019499205436,2025.3992103448309,False,log,-1155471.6033473015,1954.8019499205436,92.35688209533691,-1155471.1877154275,1954.7943412356176,91.94125366210938
