,rank,elpd_loo,p_loo_x,elpd_diff,weight,se,dse,warning,scale,loo,loo_se,p_loo_y,waic,waic_se,p_waic
Hierarchical_Model,0,545812.6481406689,1148.0657334327698,0.0,0.9995117180306703,410.97777133615205,0.0,False,log,545812.6481406689,410.97777133615205,1148.0657334327698,545815.4433876086,410.9764008304354,1145.2705078125
Flat_Model,1,392564.5337662697,20.41833782196045,153248.11437439919,0.0004882819693297069,727.5140767342878,836.0523820273783,False,log,392564.5337662697,727.5140767342878,20.41833782196045,392564.56895562646,727.5128159588371,20.383146286010742
